id,orderid,bikeid,userid,start_time,start_location_x,start_location_y,end_time,end_location_x,end_location_y,start_day,start_weekday,start_hour,weekend,distance
11030,121202,365174,708,2020/8/29 08:08,121.486,31.307,2020/8/29 08:24,121.516,31.301,29,星期一,8,0,2.932453251
11031,121261,81475,12683,2020/8/29 08:09,121.396,31.247,2020/8/29 08:16,121.395,31.231,29,星期一,8,0,1.776533399
11032,134186,101979,89,2020/8/29 08:10,121.399,31.281,2020/8/29 08:24,121.39,31.269,29,星期一,8,0,1.582643289
11033,134290,109735,17339,2020/8/29 08:11,121.473,31.193,2020/8/29 08:15,121.475,31.196,29,星期一,8,0,0.383367854
11034,134408,59941,10901,2020/8/29 08:12,121.532,31.312,2020/8/29 08:20,121.543,31.311,29,星期一,8,0,1.052970136
11035,134621,53208,16933,2020/8/29 08:14,121.538,31.323,2020/8/29 08:20,121.536,31.318,29,星期一,8,0,0.586149352
11036,134868,131490,15402,2020/8/29 08:15,121.522,31.274,2020/8/29 08:30,121.507,31.265,29,星期一,8,0,1.742528559
11037,134778,6946,5872,2020/8/29 08:15,121.553,31.238,2020/8/29 08:31,121.549,31.22,29,星期一,8,0,2.031782903
11038,134937,286189,10406,2020/8/29 08:16,121.466,31.262,2020/8/29 08:46,121.45,31.231,29,星期一,8,0,3.759854454
11039,147825,80809,14691,2020/8/29 08:16,121.478,31.271,2020/8/29 08:25,121.485,31.279,29,星期一,8,0,1.10955762
11040,147916,6545,8438,2020/8/29 08:17,121.544,31.273,2020/8/29 08:26,121.547,31.264,29,星期一,8,0,1.037962713
11041,148089,59117,3751,2020/8/29 08:18,121.451,31.293,2020/8/29 08:25,121.454,31.298,29,星期一,8,0,0.623627371
11042,148263,274196,2300,2020/8/29 08:19,121.422,31.138,2020/8/29 08:23,121.424,31.136,29,星期一,8,0,0.292489398
11043,148407,120983,2111,2020/8/29 08:20,121.507,31.313,2020/8/29 08:23,121.509,31.316,29,星期一,8,0,0.383253494
11044,148458,134813,16869,2020/8/29 08:21,121.448,31.307,2020/8/29 08:36,121.433,31.31,29,星期一,8,0,1.46616058
11045,148501,19634,11890,2020/8/29 08:22,121.459,31.229,2020/8/29 08:27,121.454,31.231,29,星期一,8,0,0.525453456
11046,161548,187630,5914,2020/8/29 08:22,121.439,31.297,2020/8/29 08:49,121.462,31.317,29,星期一,8,0,3.116299646
11047,161826,61397,6040,2020/8/29 08:24,121.386,31.292,2020/8/29 08:58,121.392,31.254,29,星期一,8,0,4.251786904
11048,161833,198288,10554,2020/8/29 08:25,121.458,31.249,2020/8/29 08:29,121.463,31.256,29,星期一,8,0,0.910592795
11049,162003,125833,16381,2020/8/29 08:26,121.452,31.255,2020/8/29 08:38,121.458,31.242,29,星期一,8,0,1.550537403
11050,161993,113643,4566,2020/8/29 08:26,121.426,31.288,2020/8/29 08:34,121.421,31.285,29,星期一,8,0,0.580773351
11051,162140,364911,4499,2020/8/29 08:27,121.526,31.309,2020/8/29 08:35,121.535,31.311,29,星期一,8,0,0.884977554
11052,162245,200717,5302,2020/8/29 08:28,121.484,31.251,2020/8/29 08:33,121.483,31.257,29,星期一,8,0,0.672027455
11053,175201,145694,16046,2020/8/29 08:29,121.439,31.162,2020/8/29 08:45,121.442,31.19,29,星期一,8,0,3.117574723
11054,175469,293067,9956,2020/8/29 08:30,121.327,31.13,2020/8/29 08:41,121.316,31.134,29,星期一,8,0,1.138984285
11055,175490,200260,8944,2020/8/29 08:31,121.396,31.227,2020/8/29 08:46,121.404,31.206,29,星期一,8,0,2.449950715
11056,175741,177209,13756,2020/8/29 08:32,121.443,31.326,2020/8/29 09:22,121.487,31.283,29,星期一,8,0,6.346335081
11057,175847,51597,4347,2020/8/29 08:33,121.538,31.283,2020/8/29 08:59,121.502,31.279,29,星期一,8,0,3.456599723
11058,175886,212346,1353,2020/8/29 08:34,121.543,31.274,2020/8/29 08:39,121.539,31.279,29,星期一,8,0,0.672621777
11059,188723,281938,14148,2020/8/29 08:35,121.366,31.237,2020/8/29 08:47,121.356,31.235,29,星期一,8,0,0.978149128
11060,188847,5875,9964,2020/8/29 08:36,121.345,31.298,2020/8/29 08:40,121.338,31.296,29,星期一,8,0,0.702372279
11061,189065,153363,4980,2020/8/29 08:37,121.442,31.246,2020/8/29 08:53,121.443,31.242,29,星期一,8,0,0.45361
11062,189030,142425,11063,2020/8/29 08:37,121.428,31.199,2020/8/29 08:50,121.437,31.192,29,星期一,8,0,1.156776833
11063,189178,24327,2806,2020/8/29 08:38,121.421,31.284,2020/8/29 08:53,121.438,31.278,29,星期一,8,0,1.750154246
11064,189238,122500,6798,2020/8/29 08:39,121.459,31.249,2020/8/29 08:44,121.465,31.247,29,星期一,8,0,0.613047111
11065,202350,16478,6452,2020/8/29 08:40,121.398,31.16,2020/8/29 08:54,121.411,31.151,29,星期一,8,0,1.591274044
11066,202390,318775,6367,2020/8/29 08:41,121.545,31.297,2020/8/29 08:46,121.551,31.29,29,星期一,8,0,0.96369407
11067,202666,253624,5409,2020/8/29 08:42,121.448,31.307,2020/8/29 08:58,121.471,31.305,29,星期一,8,0,2.200752848
11068,202756,159585,8900,2020/8/29 08:43,121.523,31.328,2020/8/29 09:00,121.508,31.309,29,星期一,8,0,2.544881588
11069,202948,83364,927,2020/8/29 08:44,121.474,31.32,2020/8/29 08:51,121.472,31.325,29,星期一,8,0,0.586148209
11070,202974,316971,4274,2020/8/29 08:45,121.518,31.251,2020/8/29 08:51,121.529,31.252,29,星期一,8,0,1.05362951
11071,203118,166831,12957,2020/8/29 08:46,121.489,31.253,2020/8/29 08:51,121.483,31.254,29,星期一,8,0,0.582159735
11072,216059,316805,7444,2020/8/29 08:48,121.527,31.274,2020/8/29 08:53,121.533,31.268,29,星期一,8,0,0.876953296
11073,216270,245622,16016,2020/8/29 08:49,121.43,31.256,2020/8/29 09:15,121.441,31.228,29,星期一,8,0,3.276544599
11074,216366,169418,13314,2020/8/29 08:50,121.428,31.193,2020/8/29 08:57,121.438,31.19,29,星期一,8,0,1.009499564
11075,216352,113787,11847,2020/8/29 08:50,121.481,31.198,2020/8/29 08:56,121.482,31.202,29,星期一,8,0,0.453616301
11076,216388,352313,11338,2020/8/29 08:51,121.449,31.279,2020/8/29 08:54,121.443,31.278,29,星期一,8,0,0.582011923
11077,216640,86074,8854,2020/8/29 08:52,121.413,31.302,2020/8/29 09:20,121.443,31.28,29,星期一,8,0,3.756175037
11078,229586,61330,16528,2020/8/29 08:53,121.458,31.25,2020/8/29 09:02,121.452,31.258,29,星期一,8,0,1.055161621
11079,229818,126849,1986,2020/8/29 08:54,121.39,31.269,2020/8/29 09:02,121.388,31.277,29,星期一,8,0,0.907211688
11080,229842,299742,3061,2020/8/29 08:55,121.5,31.344,2020/8/29 08:57,121.497,31.34,29,星期一,8,0,0.52744223
11081,230102,78965,12744,2020/8/29 08:57,121.483,31.29,2020/8/29 09:15,121.507,31.296,29,星期一,8,0,2.379931032
11082,230241,179721,4668,2020/8/29 08:58,121.487,31.283,2020/8/29 09:07,121.496,31.285,29,星期一,8,0,0.885205055
11083,230401,55309,15088,2020/8/29 09:00,121.392,31.153,2020/8/29 09:13,121.403,31.158,29,星期一,9,0,1.186329454
11084,243440,354091,4509,2020/8/29 09:02,121.484,31.305,2020/8/29 09:05,121.487,31.298,29,星期一,9,0,0.827005384
11085,243510,80446,15040,2020/8/29 09:03,121.445,31.224,2020/8/29 09:09,121.45,31.231,29,星期一,9,0,0.910655839
11086,243635,137002,16444,2020/8/29 09:04,121.402,31.299,2020/8/29 09:11,121.413,31.302,29,星期一,9,0,1.098793143
11087,243792,24397,702,2020/8/29 09:05,121.49,31.248,2020/8/29 09:12,121.491,31.253,29,星期一,9,0,0.562492793
11088,243963,51676,1123,2020/8/29 09:07,121.464,31.293,2020/8/29 09:28,121.494,31.294,29,星期一,9,0,2.85846619
11089,257040,351157,13128,2020/8/29 09:09,121.445,31.19,2020/8/29 09:31,121.422,31.204,29,星期一,9,0,2.685992365
11090,257135,334755,16172,2020/8/29 09:11,121.414,31.18,2020/8/29 09:24,121.419,31.167,29,星期一,9,0,1.518112622
11091,257329,124225,12324,2020/8/29 09:12,121.485,31.306,2020/8/29 09:26,121.5,31.301,29,星期一,9,0,1.531839814
11092,257409,227412,2695,2020/8/29 09:14,121.435,31.197,2020/8/29 09:20,121.429,31.198,29,星期一,9,0,0.582490451
11093,257571,3582,17439,2020/8/29 09:15,121.454,31.227,2020/8/29 09:28,121.44,31.23,29,星期一,9,0,1.374707605
11094,257738,323962,7965,2020/8/29 09:17,121.451,31.159,2020/8/29 09:23,121.457,31.163,29,星期一,9,0,0.723834061
11095,257821,184057,17313,2020/8/29 09:18,121.47,31.271,2020/8/29 09:26,121.478,31.269,29,星期一,9,0,0.793487639
11096,270627,209524,17155,2020/8/29 09:19,121.443,31.185,2020/8/29 09:30,121.427,31.182,29,星期一,9,0,1.560983425
11097,270808,329819,11246,2020/8/29 09:21,121.491,31.229,2020/8/29 09:26,121.489,31.233,29,星期一,9,0,0.482695254
11098,270850,153313,3149,2020/8/29 09:22,121.452,31.223,2020/8/29 09:33,121.443,31.233,29,星期一,9,0,1.401632612
11099,270945,191256,15964,2020/8/29 09:23,121.436,31.332,2020/8/29 09:28,121.439,31.33,29,星期一,9,0,0.361516185
11100,271091,235196,7086,2020/8/29 09:25,121.488,31.231,2020/8/29 09:30,121.493,31.229,29,星期一,9,0,0.525453456
11101,271157,332952,654,2020/8/29 09:26,121.49,31.277,2020/8/29 09:34,121.493,31.286,29,星期一,9,0,1.037953872
11102,271331,70272,11650,2020/8/29 09:27,121.427,31.268,2020/8/29 09:32,121.422,31.264,29,星期一,9,0,0.650727609
11103,271335,31864,14863,2020/8/29 09:28,121.488,31.252,2020/8/29 09:41,121.483,31.247,29,星期一,9,0,0.730863347
11104,284342,225197,11764,2020/8/29 09:30,121.561,31.21,2020/8/29 09:53,121.531,31.217,29,星期一,9,0,2.962204646
11105,284503,337256,11000,2020/8/29 09:32,121.383,31.16,2020/8/29 09:48,121.403,31.163,29,星期一,9,0,1.935650677
11106,284523,269769,14703,2020/8/29 09:33,121.343,31.164,2020/8/29 09:38,121.336,31.159,29,星期一,9,0,0.867605784
11107,284731,135076,12630,2020/8/29 09:36,121.449,31.187,2020/8/29 09:45,121.436,31.182,29,星期一,9,0,1.357509692
11108,284746,278917,1252,2020/8/29 09:37,121.518,31.22,2020/8/29 09:53,121.503,31.236,29,星期一,9,0,2.278033732
11109,284904,329621,9815,2020/8/29 09:39,121.521,31.315,2020/8/29 09:43,121.515,31.311,29,星期一,9,0,0.723117416
11110,285037,243822,14508,2020/8/29 09:41,121.416,31.293,2020/8/29 09:52,121.404,31.294,29,星期一,9,0,1.147893242
11111,298097,27628,6836,2020/8/29 09:43,121.485,31.242,2020/8/29 09:52,121.484,31.238,29,星期一,9,0,0.453610573
11112,298163,305519,16936,2020/8/29 09:45,121.373,31.321,2020/8/29 09:50,121.371,31.316,29,星期一,9,0,0.586150496
11113,298299,265633,13412,2020/8/29 09:47,121.472,31.273,2020/8/29 09:52,121.476,31.27,29,星期一,9,0,0.505713037
11114,298417,309528,16482,2020/8/29 09:49,121.533,31.164,2020/8/29 10:18,121.531,31.175,29,星期一,9,0,1.234410744
11115,298506,265283,3557,2020/8/29 09:51,121.484,31.323,2020/8/29 10:00,121.485,31.333,29,星期一,9,0,1.112828663
11116,298723,228303,15829,2020/8/29 09:54,121.432,31.272,2020/8/29 10:05,121.449,31.283,29,星期一,9,0,2.026856262
11117,311586,277783,8095,2020/8/29 09:56,121.385,31.167,2020/8/29 10:04,121.383,31.175,29,星期一,9,0,0.907240902
11118,311642,214045,6164,2020/8/29 09:58,121.36,31.219,2020/8/29 10:08,121.356,31.226,29,星期一,9,0,0.864644107
11119,311728,154576,2614,2020/8/29 10:00,121.445,31.217,2020/8/29 10:05,121.442,31.222,29,星期一,10,0,0.623726426
11120,311884,225784,1409,2020/8/29 10:02,121.514,31.303,2020/8/29 10:08,121.517,31.308,29,星期一,10,0,0.623614326
11121,312046,333252,17415,2020/8/29 10:05,121.403,31.21,2020/8/29 10:17,121.393,31.223,29,星期一,10,0,1.727851523
11122,312064,78014,1275,2020/8/29 10:06,121.452,31.28,2020/8/29 10:12,121.443,31.279,29,星期一,10,0,0.864163383
11123,312170,366362,7159,2020/8/29 10:08,121.517,31.303,2020/8/29 10:14,121.525,31.309,29,星期一,10,0,1.011219504
11124,312215,269198,7515,2020/8/29 10:09,121.514,31.303,2020/8/29 10:12,121.51,31.305,29,星期一,10,0,0.440660049
11125,325327,78794,1010,2020/8/29 10:13,121.366,31.23,2020/8/29 10:20,121.367,31.237,29,星期一,10,0,0.781939949
11126,325481,118457,17650,2020/8/29 10:16,121.378,31.233,2020/8/29 10:39,121.366,31.227,29,星期一,10,0,1.322747096
11127,325571,173148,17603,2020/8/29 10:18,121.47,31.19,2020/8/29 10:47,121.43,31.17,29,星期一,10,0,4.410881499
11128,325710,48741,13412,2020/8/29 10:21,121.476,31.27,2020/8/29 10:47,121.491,31.263,29,星期一,10,0,1.62577864
11129,325818,7443,2932,2020/8/29 10:24,121.458,31.197,2020/8/29 10:32,121.466,31.204,29,星期一,10,0,1.087955962
11130,325913,198997,16807,2020/8/29 10:26,121.423,31.206,2020/8/29 10:37,121.422,31.216,29,星期一,10,0,1.112818584
11131,326073,268263,5578,2020/8/29 10:30,121.507,31.313,2020/8/29 10:34,121.51,31.317,29,星期一,10,0,0.527484776
11132,339255,109674,6643,2020/8/29 10:33,121.454,31.219,2020/8/29 10:43,121.457,31.229,29,星期一,10,0,1.14498662
11133,339349,132362,4996,2020/8/29 10:36,121.438,31.34,2020/8/29 10:40,121.445,31.342,29,星期一,10,0,0.702078799
11134,339465,50930,4001,2020/8/29 10:38,121.491,31.259,2020/8/29 10:48,121.48,31.258,29,星期一,10,0,1.053552642
11135,339537,328934,10447,2020/8/29 10:39,121.317,31.309,2020/8/29 11:13,121.315,31.293,29,星期一,10,0,1.784183473
11136,339732,158963,3428,2020/8/29 10:43,121.44,31.331,2020/8/29 11:00,121.422,31.333,29,星期一,10,0,1.727384656
11137,339860,233776,11507,2020/8/29 10:46,121.495,31.262,2020/8/29 10:55,121.49,31.249,29,星期一,10,0,1.518001039
11138,339909,83710,426,2020/8/29 10:47,121.498,31.27,2020/8/29 10:54,121.508,31.271,29,星期一,10,0,0.958768577
11139,352689,303570,6419,2020/8/29 10:50,121.486,31.346,2020/8/29 10:58,121.493,31.336,29,星期一,10,0,1.293474179
11140,352833,42969,12370,2020/8/29 10:53,121.451,31.265,2020/8/29 11:04,121.459,31.247,29,星期一,10,0,2.136248804
11141,352929,256893,14669,2020/8/29 10:55,121.528,31.288,2020/8/29 11:31,121.496,31.309,29,星期一,10,0,3.834437688
